megadbid,Area,state,latactdd,lonactdd,elevuse_m,coast_km,maxaug_c,mindec_c,continen,precip_cm,rh_ann,raindays,cmd10yr,ecoreg,hw_plot_LG,bahwdftac,pct_hwd,year,N,S,hdep5yroll,ph_5y_roll,3yrSO2ugm3,spp_rich,Sscores,Nscores,N(eutroph),N(mesotroph),N(oligotroph),%oligotrophs,%mesotrophs,%eutrophs,olig:eutro,olig+meso:eutro,N(intermediate),N(sensitive),N(tolerant),% sens,% inter,% tol,sens:tol,sens+inter:tol,N(Cya l),N(Cya s-m),N(For p),N(For sh),N(Mtx m-l),N(Mtx s),% Cya l,% Cya s-m,% For p,% For sh,% Mtx m-l,% Mtx s,% Cya,% For
5069,West,Alaska,56.8,-132.13,5,14,17.07,-2.77,19.84,314,,,0,4,1,,,1989,0.75,1.47,,,0.347,12,1.951847885,0.904968097,0,1,9,0.9,0.1,0,,,1,8,0,0.888888889,0.111111111,0,,,0,0,0,0,1,9,0,0,0,0,0.1,0.9,0,0
5070,West,Alaska,56.72,-132.12,2,15,17.87,-2.18,20.05,214,,,0,4,0,,,1989,0.75,1.47,,,0.347,15,3.612058675,2.192421892,1,2,11,0.785714286,0.142857143,0.071428571,11,13,1,8,3,0.666666667,0.083333333,0.25,2.666666667,3,4,0,3,1,5,2,0.266666667,0,0.2,0.066666667,0.333333333,0.133333333,0.266666667,0.266666667
5071,West,Alaska,56.7,-132.03,30,18,18.17,-2.14,20.31,218,,,0,4,1,,,1989,0.75,1.47,,,0.347,16,5.050406743,1.825517052,0,3,10,0.769230769,0.230769231,0,,,2,8,4,0.571428571,0.142857143,0.285714286,2,2.5,8,2,1,1,1,2,0.533333333,0.133333333,0.066666667,0.066666667,0.066666667,0.133333333,0.666666667,0.133333333
5072,West,Alaska,56.69,-132.2,15,10,17.78,-1.93,19.71,217,,,0,4,1,,,1989,0.75,1.47,,,0.347,7,4.265794892,5.917654501,3,1,3,0.428571429,0.142857143,0.428571429,1,1.333333333,2,3,0,0.6,0.4,0,,,4,3,0,0,0,0,0.571428571,0.428571429,0,0,0,0,1,0
5075,West,Alaska,56.25,-132.26,79,3,17.88,-2.3,20.18,245,,,0,4,0,,,1989,0.75,1.47,,,0.347,12,3.15085626,1.719815182,0,1,9,0.9,0.1,0,,,2,8,2,0.666666667,0.166666667,0.166666667,4,5,1,0,3,1,3,4,0.083333333,0,0.25,0.083333333,0.25,0.333333333,0.083333333,0.333333333
5076,West,Alaska,56.25,-132.27,91,3,17.87,-2.32,20.19,247,,,0,4,0,,,1989,0.75,1.47,,,0.347,14,3.533700188,2.649196763,0,4,7,0.636363636,0.363636364,0,,,2,8,3,0.615384615,0.153846154,0.230769231,2.666666667,3.333333333,0,0,2,1,5,6,0,0,0.142857143,0.071428571,0.357142857,0.428571429,0,0.214285714
5077,West,Alaska,56.25,-132.25,91,3,17.9,-2.34,20.24,231,,,0,4,0,,,1989,0.75,1.47,,,0.347,16,3.722245049,2.215040567,0,3,9,0.75,0.25,0,,,2,9,3,0.642857143,0.142857143,0.214285714,3,3.666666667,0,0,4,1,4,6,0,0,0.266666667,0.066666667,0.266666667,0.4,0,0.333333333
5078,West,Alaska,56.31,-132.3,183,2,17.29,-3.21,20.5,288,,,0,4,0,,,1989,0.75,1.47,,,0.347,13,3.814988499,1.977161716,0,3,8,0.727272727,0.272727273,0,,,2,7,1,0.7,0.2,0.1,7,9,2,0,1,1,7,2,0.153846154,0,0.076923077,0.076923077,0.538461539,0.153846154,0.153846154,0.153846154
5079,West,Alaska,56.29,-132.35,183,0,17.58,-2.27,19.85,226,,,0,4,0,,,1989,0.75,1.47,,,0.347,15,3.515735039,2.3407564,0,3,9,0.75,0.25,0,,,1,11,2,0.785714286,0.071428571,0.142857143,5.5,6,1,0,3,1,7,3,0.066666667,0,0.2,0.066666667,0.466666667,0.2,0.066666667,0.266666667
5080,West,Alaska,56.31,-132.33,122,0,17.7,-2.32,20.02,237,,,0,4,0,,,1989,0.75,1.47,,,0.347,15,3.172893918,2.1864905,0,3,9,0.75,0.25,0,,,1,11,3,0.733333333,0.066666667,0.2,3.666666667,4,1,0,3,1,4,6,0.066666667,0,0.2,0.066666667,0.266666667,0.4,0.066666667,0.266666667
5081,West,Alaska,56.68,-132.3,15,5,17.65,-2.12,19.77,207,,,0,4,1,,,1989,0.75,1.47,,,0.347,6,6.006039604,,1,1,2,0.5,0.25,0.25,2,3,0,3,2,0.6,0,0.4,1.5,1.5,2,0,0,0,2,1,0.4,0,0,0,0.4,0.2,0.4,0
5082,West,Alaska,56.69,-132.27,9,7,17.76,-2.02,19.78,227,,,0,4,1,,,1989,0.75,1.47,,,0.347,12,5.125367751,4.614334892,3,2,5,0.5,0.2,0.3,1.666666667,2.333333333,3,5,2,0.5,0.3,0.2,2.5,4,6,3,0,0,2,0,0.545454546,0.272727273,0,0,0.181818182,0,0.818181818,0
5083,West,Alaska,56.66,-132.22,46,7,17.22,-2.42,19.64,236,,,0,4,0,,,1989,0.75,1.47,,,0.347,25,4.743283328,1.880032537,1,2,18,0.857142857,0.095238095,0.047619048,18,20,5,7,6,0.388888889,0.277777778,0.333333333,1.166666667,2,7,0,4,1,7,5,0.291666667,0,0.166666667,0.041666667,0.291666667,0.208333333,0.291666667,0.208333333
5084,West,Alaska,56.65,-132.2,15,7,17.62,-2.34,19.96,247,,,0,4,0,,,1989,0.75,1.47,,,0.347,28,4.439640373,1.559409892,1,2,21,0.875,0.083333333,0.041666667,21,23,5,11,7,0.47826087,0.217391304,0.304347826,1.571428571,2.285714286,9,1,3,1,3,11,0.321428571,0.035714286,0.107142857,0.035714286,0.107142857,0.392857143,0.357142857,0.142857143
5085,West,Alaska,56.65,-132.21,15,7,17.62,-2.34,19.96,247,,,0,4,1,,,1989,0.75,1.47,,,0.347,8,3.703379276,2.340074257,1,0,7,0.875,0,0.125,7,7,2,4,1,0.571428571,0.285714286,0.142857143,4,6,8,0,0,0,0,0,1,0,0,0,0,0,1,0
5087,West,Alaska,56.88,-133.17,44,9,17.43,-2.97,20.4,298,,,0,4,0,,,1989,0.5,1.47,,,0.347,19,3.154478076,2.461369522,1,3,12,0.75,0.1875,0.0625,12,15,1,11,3,0.733333333,0.066666667,0.2,3.666666667,4,2,0,5,1,7,3,0.111111111,0,0.277777778,0.055555556,0.388888889,0.166666667,0.111111111,0.333333333
5088,West,Alaska,56.87,-133.17,30,9,17.44,-2.95,20.39,292,,,0,4,0,,,1989,0.99,1.47,,,0.347,14,3.366916726,2.99213238,1,3,9,0.692307692,0.230769231,0.076923077,9,12,2,6,4,0.5,0.166666667,0.333333333,1.5,2,3,0,2,1,5,3,0.214285714,0,0.142857143,0.071428571,0.357142857,0.214285714,0.214285714,0.214285714
5095,West,Alaska,56.47,-134.08,15,0,16.68,-0.72,17.4,299,,,0,4,0,,,1989,0.84,1.47,,,0.347,17,3.920361836,3.222703873,0,4,8,0.666666667,0.333333333,0,,,1,12,1,0.857142857,0.071428571,0.071428571,12,13,2,0,2,1,7,3,0.133333333,0,0.133333333,0.066666667,0.466666667,0.2,0.133333333,0.2
5098,West,Alaska,57.1,-132.83,15,2,16.85,-3.71,20.56,291,,,0,4,1,,,1989,0.75,1.47,,,0.347,12,2.999082726,3.005352952,2,2,7,0.636363636,0.181818182,0.181818182,3.5,4.5,1,7,2,0.7,0.1,0.2,3.5,4,6,0,0,0,3,2,0.545454546,0,0,0,0.272727273,0.181818182,0.545454546,0
5099,West,Alaska,57.08,-132.79,30,1,16.94,-3.76,20.7,372,,,0,4,0,,,1989,0.75,1.47,,,0.347,9,2.903807381,1.880358911,0,1,7,0.875,0.125,0,,,1,5,1,0.714285714,0.142857143,0.142857143,5,6,1,0,4,0,2,1,0.125,0,0.5,0,0.25,0.125,0.125,0.5
5100,West,Alaska,57.21,-133.5,2,0,16.5,-1.48,17.98,172,,,0,4,1,,,1989,0.75,1.47,,,0.347,8,5.895265527,3.916203835,2,0,4,0.666666667,0,0.333333333,2,2,2,2,2,0.333333333,0.333333333,0.333333333,1,2,3,0,0,0,3,1,0.428571429,0,0,0,0.428571429,0.142857143,0.428571429,0
5101,West,Alaska,57.21,-133.5,15,0,16.98,-1.6,18.58,195,,,0,4,0,,,1989,0.52,1.47,,,0.347,20,4.721901945,2.18659865,1,3,11,0.733333333,0.2,0.066666667,11,14,2,9,5,0.5625,0.125,0.3125,1.8,2.2,2,0,2,1,7,7,0.105263158,0,0.105263158,0.052631579,0.368421053,0.368421053,0.105263158,0.157894737
5102,West,Alaska,57.21,-133.49,61,1,16.98,-1.6,18.58,195,,,0,4,0,,,1989,0.75,1.47,,,0.347,9,5.111132729,2.852734197,0,2,4,0.666666667,0.333333333,0,,,0,5,1,0.833333333,0,0.166666667,5,5,1,0,1,1,4,1,0.125,0,0.125,0.125,0.5,0.125,0.125,0.25
5103,West,Alaska,56.76,-132.93,158,0,15.59,-3.44,19.03,357,,,0,4,0,,,1989,0.79,1.47,,,0.347,30,4.185956538,2.071125086,0,4,20,0.833333333,0.166666667,0,,,2,16,6,0.666666667,0.083333333,0.25,2.666666667,3,4,0,5,1,8,10,0.142857143,0,0.178571429,0.035714286,0.285714286,0.357142857,0.142857143,0.214285714
5104,West,Alaska,56.78,-132.93,149,0,14.93,-4.36,19.29,336,,,0,4,0,,,1989,0.76,1.47,,,0.347,21,4.555888666,1.388775342,0,3,14,0.823529412,0.176470588,0,,,1,10,7,0.555555556,0.055555556,0.388888889,1.428571429,1.571428571,3,0,3,1,8,6,0.142857143,0,0.142857143,0.047619048,0.380952381,0.285714286,0.142857143,0.190476191
5106,West,Alaska,56.79,-132.93,119,0,16.84,-2.49,19.33,297,,,0,4,0,,,1989,0.5,1.47,,,0.347,16,3.734523274,1.604235767,0,2,11,0.846153846,0.153846154,0,,,1,9,3,0.692307692,0.076923077,0.230769231,3,3.333333333,2,0,4,1,6,2,0.133333333,0,0.266666667,0.066666667,0.4,0.133333333,0.133333333,0.333333333
5109,West,Alaska,56.04,-132.35,205,5,16.73,-4.24,20.97,279,,,0,4,0,,,1989,0.75,1.47,,,0.347,19,3.202337865,1.163550032,0,1,15,0.9375,0.0625,0,,,2,9,4,0.6,0.133333333,0.266666667,2.25,2.75,2,0,6,1,4,5,0.111111111,0,0.333333333,0.055555556,0.222222222,0.277777778,0.111111111,0.388888889
5110,West,Alaska,56.04,-132.35,195,5,16.73,-4.24,20.97,279,,,0,4,0,,,1989,0.75,1.47,,,0.347,10,4.367343609,1.779890775,0,1,5,0.833333333,0.166666667,0,,,0,5,2,0.714285714,0,0.285714286,2.5,2.5,1,0,0,0,1,6,0.125,0,0,0,0.125,0.75,0.125,0
5319,West,Alaska,56.82,-132.98,15,3,17.37,-2.28,19.65,279,,,0,4,0,,,1989,0.75,1.47,,,0.347,7,2.439225923,2.004722615,1,0,5,0.833333333,0,0.166666667,5,5,1,4,1,0.666666667,0.166666667,0.166666667,4,5,1,0,2,0,0,4,0.142857143,0,0.285714286,0,0,0.571428571,0.142857143,0.285714286
5322,West,Alaska,56.7,-132.85,,4,14.95,-5.71,20.66,347,,,0,4,0,,,1989,0.75,1.47,,,0.347,14,4.492662016,2.963008801,1,3,7,0.636363636,0.272727273,0.090909091,7,10,2,6,2,0.6,0.2,0.2,3,4,5,0,0,1,4,3,0.384615385,0,0,0.076923077,0.307692308,0.230769231,0.384615385,0.076923077
5112,West,Alaska,56.9,-132.91,2,0,17.29,-1.2,18.49,234,,,0,4,1,,,1990,0.75,1.47,,,0.347,5,,2.334859186,1,0,4,0.8,0,0.2,4,4,2,1,1,0.25,0.5,0.25,1,3,0,0,1,0,3,1,0,0,0.2,0,0.6,0.2,0,0.2
5113,West,Alaska,56.65,-132.87,30,2,17.52,-2.51,20.03,252,,,0,4,0,,,1990,0.75,1.47,,,0.347,11,3.374846342,2.210585809,0,2,8,0.8,0.2,0,,,3,5,0,0.625,0.375,0,,,0,0,1,0,7,3,0,0,0.090909091,0,0.636363636,0.272727273,0,0.090909091
5114,West,Alaska,56.65,-132.83,24,3,17.1,-2.78,19.88,285,,,0,4,0,,,1990,0.75,1.47,,,0.347,12,3.2984543,1.889076824,1,1,8,0.8,0.1,0.1,8,9,1,8,1,0.8,0.1,0.1,8,9,2,0,1,1,5,3,0.166666667,0,0.083333333,0.083333333,0.416666667,0.25,0.166666667,0.166666667
5115,West,Alaska,56.65,-132.83,107,3,17.1,-2.78,19.88,285,,,0,4,0,,,1990,0.75,1.47,,,0.347,13,4.47250225,2.598101852,1,2,8,0.727272727,0.181818182,0.090909091,8,10,2,6,2,0.6,0.2,0.2,3,4,1,0,2,0,7,3,0.076923077,0,0.153846154,0,0.538461539,0.230769231,0.076923077,0.153846154
5116,West,Alaska,55.46,-131.62,152,7,17.79,-2.26,20.05,368,,,0,4,0,,,1990,0.75,1.47,,,0.347,14,3.89909991,2.028194973,1,1,11,0.846153846,0.076923077,0.076923077,11,12,3,6,2,0.545454546,0.272727273,0.181818182,3,4.5,0,0,6,0,5,2,0,0,0.461538462,0,0.384615385,0.153846154,0,0.461538462
5117,West,Alaska,58.37,-134.6,30,2,17.07,-3.97,21.04,166,,,0,4,1,,,1990,0.75,1.47,,,0.347,22,5.455564057,4.639356436,6,4,12,0.545454546,0.181818182,0.272727273,2,2.666666667,3,9,5,0.529411765,0.176470588,0.294117647,1.8,2.4,8,0,3,4,7,0,0.363636364,0,0.136363636,0.181818182,0.318181818,0,0.363636364,0.318181818
5118,West,Alaska,58.38,-134.6,15,2,17.07,-3.97,21.04,166,,,0,4,1,,,1990,0.75,1.47,,,0.347,10,4.470828083,4.712291667,2,2,3,0.428571429,0.285714286,0.285714286,1.5,2.5,0,6,2,0.75,0,0.25,3,3,2,0,1,1,4,1,0.222222222,0,0.111111111,0.111111111,0.444444444,0.111111111,0.222222222,0.222222222
5119,West,Alaska,58.42,-134.55,15,6,16.72,-4.31,21.03,187,,,0,4,1,,,1990,0.75,1.47,,,0.347,7,2.516656166,3.939606711,1,2,3,0.5,0.333333333,0.166666667,3,5,2,4,0,0.666666667,0.333333333,0,,,3,0,0,0,0,3,0.5,0,0,0,0,0.5,0.5,0
5123,West,Alaska,56.88,-133.17,35,9,17.43,-2.97,20.4,298,,,0,4,0,,,1990,0.75,1.47,,,0.347,23,4.606547255,2.471910321,1,3,16,0.8,0.15,0.05,16,19,1,10,5,0.625,0.0625,0.3125,2,2.2,4,0,5,1,10,2,0.181818182,0,0.227272727,0.045454546,0.454545455,0.090909091,0.181818182,0.272727273
5126,West,Alaska,59.5,-139.72,15,0,15.78,-3.49,19.27,392,,,0,4,0,,,1990,0.75,1.47,,,0.347,7,5.553679568,2.503162816,1,0,6,0.857142857,0,0.142857143,6,6,1,3,0,0.75,0.25,0,,,1,0,2,0,2,2,0.142857143,0,0.285714286,0,0.285714286,0.285714286,0.142857143,0.285714286
5127,West,Alaska,59.42,-139.01,6,13,15.68,-4.1,19.78,390,,,0,4,0,,,1990,1.36,1.47,,,0.347,25,4.493481661,2.332570734,2,3,17,0.772727273,0.136363636,0.090909091,8.5,10,9,9,3,0.428571429,0.428571429,0.142857143,3,6,12,4,0,0,4,4,0.5,0.166666667,0,0,0.166666667,0.166666667,0.666666667,0
5128,West,Alaska,59.42,-139.02,6,12,15.71,-4,19.71,390,,,0,4,1,,,1990,0.75,1.47,,,0.347,9,4.651847435,3.932791136,2,1,4,0.571428571,0.142857143,0.285714286,2,2.5,3,3,2,0.375,0.375,0.25,1.5,3,5,1,0,0,1,1,0.625,0.125,0,0,0.125,0.125,0.75,0
5130,West,Alaska,59.47,-139.12,30,12,15.68,-4.28,19.96,396,,,0,4,0,,,1990,0.84,1.47,,,0.347,15,3.587218722,2.219985602,1,2,9,0.75,0.166666667,0.083333333,9,11,1,7,5,0.538461539,0.076923077,0.384615385,1.4,1.6,1,0,3,1,4,5,0.071428571,0,0.214285714,0.071428571,0.285714286,0.357142857,0.071428571,0.285714286
5131,West,Alaska,59.58,-139.45,2,7,15.69,-4.48,20.17,402,,,0,4,1,,,1990,0.81,1.47,,,0.347,25,3.995809794,2.273398392,1,3,18,0.818181818,0.136363636,0.045454546,18,21,5,12,4,0.571428571,0.238095238,0.190476191,3,4.25,5,1,4,1,7,7,0.2,0.04,0.16,0.04,0.28,0.28,0.24,0.2
5132,West,Alaska,59.58,-139.52,15,5,15.68,-4.29,19.97,400,,,0,4,0,,,1990,0.96,1.47,,,0.347,12,3.096605696,0.75,0,0,8,1,0,0,,,0,7,3,0.7,0,0.3,2.333333333,2.333333333,2,1,3,1,0,4,0.181818182,0.090909091,0.272727273,0.090909091,0,0.363636364,0.272727273,0.363636364
5133,West,Alaska,59.47,-139.14,23,11,15.72,-4.09,19.81,395,,,0,4,0,,,1990,0.75,1.47,,,0.347,17,4.776244053,2.457896727,1,3,9,0.692307692,0.230769231,0.076923077,9,12,1,7,5,0.538461539,0.076923077,0.384615385,1.4,1.6,1,0,3,1,6,5,0.0625,0,0.1875,0.0625,0.375,0.3125,0.0625,0.25
5134,West,Alaska,59.48,-139.13,61,12,15.66,-4.29,19.95,400,,,0,4,0,,,1990,0.75,1.47,,,0.347,14,3.990838084,2.003970333,1,1,9,0.818181818,0.090909091,0.090909091,9,10,3,6,3,0.5,0.25,0.25,2,3,0,0,3,1,3,6,0,0,0.230769231,0.076923077,0.230769231,0.461538462,0,0.307692308
5136,West,Alaska,59.48,-139.14,61,12,15.63,-4.2,19.83,400,,,0,4,0,,,1990,0.75,1.47,,,0.347,14,4.711629163,2.992102903,1,3,7,0.636363636,0.272727273,0.090909091,7,10,0,7,5,0.583333333,0,0.416666667,1.4,1.4,0,0,1,1,8,4,0,0,0.071428571,0.071428571,0.571428571,0.285714286,0,0.142857143
5137,West,Alaska,55.36,-132.44,311,13,17.25,-2.61,19.86,353,,,0,4,0,,,1990,0.4,1.47,,,0.347,9,2.105707856,1.922224056,0,1,6,0.857142857,0.142857143,0,,,2,6,1,0.666666667,0.222222222,0.111111111,6,8,0,0,2,1,3,3,0,0,0.222222222,0.111111111,0.333333333,0.333333333,0,0.333333333
5138,West,Alaska,55.37,-132.44,323,13,17.43,-2.56,19.99,311,,,0,4,0,,,1990,0.48,1.47,,,0.347,22,3.700484361,2.470931793,1,3,13,0.764705882,0.176470588,0.058823529,13,16,2,10,4,0.625,0.125,0.25,2.5,3,0,0,3,1,9,7,0,0,0.15,0.05,0.45,0.35,0,0.2
5139,West,Alaska,55.37,-132.43,55,12,18.1,-2.96,21.06,308,,,0,4,0,,,1990,0.61,1.47,,,0.347,18,4.202665855,3.187589465,2,4,9,0.6,0.266666667,0.133333333,4.5,6.5,3,10,3,0.625,0.1875,0.1875,3.333333333,4.333333333,1,0,1,1,9,6,0.055555556,0,0.055555556,0.055555556,0.5,0.333333333,0.055555556,0.111111111
5141,West,Alaska,55.36,-132.52,3,15,18.52,-1.6,20.12,263,,,0,4,0,,,1990,0.75,1.47,,,0.347,19,4.588894089,3.190728365,2,4,9,0.6,0.266666667,0.133333333,4.5,6.5,1,8,5,0.571428571,0.071428571,0.357142857,1.6,1.8,0,1,4,1,8,4,0,0.055555556,0.222222222,0.055555556,0.444444444,0.222222222,0.055555556,0.277777778
5142,West,Alaska,54.99,-131.33,3,0,17.38,0.76,16.62,239,,,0,4,0,,,1990,0.61,1.47,,,0.347,29,4.310689319,3.383334689,4,5,15,0.625,0.208333333,0.166666667,3.75,5,3,16,5,0.666666667,0.125,0.208333333,3.2,3.8,1,0,6,4,13,4,0.035714286,0,0.214285714,0.142857143,0.464285714,0.142857143,0.035714286,0.357142857
5144,West,Alaska,54.99,-131.33,15,0,17.38,0.76,16.62,239,,,0,4,0,,,1990,0.29,1.47,,,0.347,9,2.107784831,3.814147415,0,3,5,0.625,0.375,0,,,0,8,0,1,0,0,,,0,0,1,2,4,2,0,0,0.111111111,0.222222222,0.444444444,0.222222222,0,0.333333333
5145,West,Alaska,56.15,-134.21,6,2,15.59,-0.18,15.77,288,,,0,4,0,,,1990,1.68,1.47,,,0.347,22,3.747752186,3.060908551,2,4,14,0.7,0.2,0.1,7,9,4,11,5,0.55,0.2,0.25,2.2,3,6,1,4,3,7,1,0.272727273,0.045454546,0.181818182,0.136363636,0.318181818,0.045454546,0.318181818,0.318181818
5146,West,Alaska,56.15,-134.2,49,3,15.59,-0.18,15.77,288,,,0,4,0,,,1990,0.27,1.47,,,0.347,7,2.311361386,0.75,0,0,6,1,0,0,,,1,4,2,0.571428571,0.142857143,0.285714286,2,2.5,0,0,3,1,1,2,0,0,0.428571429,0.142857143,0.142857143,0.285714286,0,0.571428571
5147,West,Alaska,56.15,-134.19,61,3,15.09,-0.52,15.61,280,,,0,4,0,,,1990,0.42,1.47,,,0.347,11,4.804615211,3.528723873,1,3,4,0.5,0.375,0.125,4,7,0,5,3,0.625,0,0.375,1.666666667,1.666666667,1,0,1,1,5,3,0.090909091,0,0.090909091,0.090909091,0.454545455,0.272727273,0.090909091,0.181818182
5148,West,Alaska,56.84,-133.07,15,8,17.57,-3.04,20.61,318,,,0,4,0,,,1990,0.26,1.47,,,0.347,19,3.158214742,2.405583498,1,4,12,0.705882353,0.235294118,0.058823529,12,16,4,11,3,0.611111111,0.222222222,0.166666667,3.666666667,5,0,0,6,1,9,3,0,0,0.315789474,0.052631579,0.473684211,0.157894737,0,0.368421053
5149,West,Alaska,55.59,-131.1,91,10,17.55,-4.38,21.93,388,,,0,4,0,,,1990,0.44,1.47,,,0.347,13,4.090847885,2.214404173,0,2,8,0.8,0.2,0,,,0,7,4,0.636363636,0,0.363636364,1.75,1.75,2,0,2,1,4,4,0.153846154,0,0.153846154,0.076923077,0.307692308,0.307692308,0.153846154,0.230769231
5150,West,Alaska,55.59,-131.1,183,10,17.55,-4.38,21.93,388,,,0,4,0,,,1990,0.23,1.47,,,0.347,19,3.82099636,2.216670092,1,3,13,0.764705882,0.176470588,0.058823529,13,16,2,10,2,0.714285714,0.142857143,0.142857143,5,6,0,0,4,1,9,4,0,0,0.222222222,0.055555556,0.5,0.222222222,0,0.277777778
5151,West,Alaska,55.59,-131.1,122,10,17.55,-4.38,21.93,388,,,0,4,0,,,1990,0.37,1.47,,,0.347,15,3.704287701,2.700218612,1,3,9,0.692307692,0.230769231,0.076923077,9,12,0,9,3,0.75,0,0.25,3,3,2,0,2,1,7,3,0.133333333,0,0.133333333,0.066666667,0.466666667,0.2,0.133333333,0.2
5154,West,Alaska,55.09,-130.64,46,5,17.5,-3.58,21.08,308,,,0,4,0,,,1990,0.79,1.47,,,0.347,14,3.523743965,1.934425303,1,1,8,0.8,0.1,0.1,8,9,1,7,3,0.636363636,0.090909091,0.272727273,2.333333333,2.666666667,2,0,2,1,3,4,0.166666667,0,0.166666667,0.083333333,0.25,0.333333333,0.166666667,0.25
5157,West,Alaska,55.1,-130.63,46,5,17.32,-3.75,21.07,309,,,0,4,0,,,1990,0.75,1.47,,,0.347,17,4.751816157,2.662138142,2,2,11,0.733333333,0.133333333,0.133333333,5.5,6.5,2,7,4,0.538461539,0.153846154,0.307692308,1.75,2.25,2,0,2,1,8,4,0.117647059,0,0.117647059,0.058823529,0.470588235,0.235294118,0.117647059,0.176470588
