Plot,maxaug_c,mindec_c,continen,precip_cm,N
965,25,-1,26,140,2.55
967,25,-7,32,100,1.49
969,26,-9,35,83,1.5
970,27,-8,35,65,1.47
971,27,-8,35,63,1.6
972,27,-8,35,57,1.6
973,27,-8,35,53,1.6
975,27,-1,28,112,2.34
977,25,-2,27,147,2.24
979,24,-2,26,154,2.24
981,24,-7,31,104,1.49
983,27,-8,35,60,1.46
984,27,-9,36,54,1.6
985,30,-2,32,103,2.24
986,25,-2,27,149,2.35
987,22,-5,27,157,2.35
990,23,-6,29,100,1.39
991,26,-9,35,82,1.44
993,28,-9,37,57,1.44
994,27,-9,36,56,1.54
996,30,-1,31,105,2.42
997,29,-1,30,106,2.3
998,29,-2,31,114,2.35
999,25,-8,33,90,1.44
1001,28,-8,36,55,1.54
1002,26,-8,34,76,1.54
1003,22,-6,28,97,2.02
1005,29,-1,30,134,2.42
1007,30,-1,31,107,2.3
1008,30,-2,32,104,2.3
1011,29,-2,31,118,2.16
1013,29,-2,31,118,2.16
1014,25,-9,34,85,1.53
1016,27,-8,35,62,1.55
1017,28,-9,37,59,1.63
1019,26,-8,34,75,1.46
1020,26,-8,34,75,2.02
1021,27,0,27,152,2.94
1024,30,-1,31,110,2.4
1025,28,-1,29,115,2.3
1027,29,-2,31,108,2.16
1028,28,-2,30,118,2.93
1030,24,-5,29,160,2.21
1032,23,-7,30,139,1.83
1033,22,-7,29,125,1.83
1035,24,-7,31,98,1.59
1037,26,-8,34,74,1.57
1039,26,-8,34,73,1.53
1040,26,-8,34,70,1.63
1041,27,-8,35,67,1.63
1042,28,0,28,157,2.94
1044,25,-1,26,149,2.4
1048,27,-1,28,138,2.31
1049,25,-3,28,141,2.19
1051,28,-2,30,129,2.19
1053,25,-3,28,155,2.22
1054,24,-5,29,161,2.22
1055,25,-4,29,149,1.94
1057,22,-7,29,161,2.3
1059,22,-8,30,123,1.97
1060,24,-7,31,102,1.53
1061,23,-7,30,95,1.72
1062,26,-8,34,75,1.72
1063,26,-8,34,72,1.72
1065,28,-1,29,137,2.82
1066,27,-1,28,132,2.4
1067,24,-3,27,170,2.19
1068,23,-2,25,170,2.19
1069,24,-4,28,158,1.96
1070,25,-4,29,148,1.96
1072,25,-4,29,143,2.14
1073,22,-7,29,159,1.94
1074,20,-8,28,148,1.83
1076,24,-6,30,126,1.8
1078,22,-7,29,142,1.85
1079,19,-9,28,154,1.95
1081,23,-7,30,111,1.58
1083,25,-9,34,87,1.58
1085,26,-8,34,75,1.72
1087,25,-8,33,74,1.56
1088,28,-1,29,143,2.47
1090,26,1,25,181,2.58
1091,26,-2,28,160,2.47
1093,25,-3,28,163,2.28
1094,26,-1,27,137,1.96
1097,27,-3,30,143,2.45
1098,26,-5,31,139,1.99
1100,25,-6,31,135,2.06
1101,23,-6,29,145,2.02
1102,21,-8,29,141,1.95
1104,21,-8,29,114,1.58
1105,24,-7,31,114,1.51
1107,25,-8,33,75,1.57
1108,26,-8,34,77,1.88
1109,25,-7,32,83,1.88
1110,25,-8,33,85,1.73
1112,25,-8,33,82,1.56
1114,26,-1,27,149,2.22
1116,28,-1,29,120,2.22
1119,29,-1,30,117,2.28
1120,27,-1,28,119,2
1121,26,-2,28,138,2.14
1123,27,-3,30,141,1.94
1124,25,-5,30,162,1.99
1126,23,-7,30,171,2.06
1127,26,-6,32,150,2.25
1128,24,-7,31,116,1.63
1129,23,-7,30,118,1.63
1131,25,-7,32,86,1.88
1132,26,-8,34,77,1.88
1133,24,-7,31,88,1.73
1134,24,-7,31,87,1.73
1136,25,-7,32,89,1.75
1137,27,0,27,122,2.39
1139,26,-2,28,142,2.21
1140,25,-3,28,153,2
1142,23,-3,26,164,2.14
1143,24,-5,29,160,2.14
1144,26,-4,30,167,2.2
1145,22,-7,29,178,2.18
1146,23,-6,29,170,2.02
1148,22,-8,30,157,2.02
1150,23,-7,30,134,1.63
1151,25,-8,33,96,1.63
1154,26,-8,34,66,1.69
1155,23,-8,31,90,1.59
1156,24,-7,31,92,1.75
1157,24,-7,31,97,1.75
1159,26,-1,27,132,2.39
1161,28,-1,29,114,2.33
1162,27,-1,28,135,2.19
1163,23,-3,26,167,2.26
1164,26,-3,29,157,2.14
1166,23,-6,29,179,2.2
1167,22,-7,29,180,2.2
1169,21,-8,29,183,2.18
1170,20,-8,28,186,2.18
1171,21,-8,29,143,1.56
1172,25,-8,33,95,1.56
1174,24,-7,31,92,1.58
1175,26,-8,34,61,1.72
1177,26,-8,34,67,1.59
1180,24,-6,30,93,1.56
1182,27,-9,36,32,1.23
1184,26,-1,27,132,2.39
1186,27,0,27,120,2.33
1187,27,-1,28,125,2.19
1190,23,-3,26,174,2.34
1192,27,-2,29,155,2.32
1194,28,-2,30,141,2.44
1195,21,-4,25,182,2.4
1197,21,-6,27,174,2.4
1198,22,-7,29,176,2.18
1199,20,-9,29,190,2.18
1201,22,-7,29,124,1.55
1203,24,-8,32,83,1.59
1205,27,-9,36,34,1.28
1208,27,-9,36,31,1.32
1209,26,-1,27,161,2.44
1210,27,-1,28,129,2.44
1212,25,-1,26,155,2.44
1214,25,-2,27,176,2.26
1216,28,-2,30,126,2.26
1217,28,-1,29,132,2.4
1218,24,-5,29,159,2.4
1220,26,-3,29,154,2.39
1222,21,-8,29,189,2.43
1224,21,-8,29,166,2.43
1226,24,-7,31,90,1.56
1228,24,-7,31,101,1.58
1229,27,-9,36,53,1.43
1231,27,-9,36,46,1.43
1233,27,-9,36,40,1.32
1234,27,-9,36,34,1.28
1235,27,-9,36,32,1.23
1236,26,0,26,165,2.71
1237,23,-2,25,201,2.44
1239,25,-1,26,164,2.41
1240,27,-1,28,151,2.41
1241,26,-2,28,136,2.41
1242,24,-3,27,157,2.54
1244,26,-3,29,152,2.54
1245,21,-8,29,165,2.05
1246,21,-8,29,155,2.05
1248,24,-7,31,88,2.05
1250,23,-7,30,96,1.49
1251,23,-7,30,85,1.49
1252,23,-7,30,96,1.62
1253,25,-7,32,60,1.52
1254,26,-8,34,51,1.55
1256,26,-8,34,40,1.32
1258,26,-8,34,35,1.23
1259,27,-9,36,31,1.23
1260,20,3,17,175,2.17
1261,26,-1,27,180,2.92
1262,22,-2,24,199,2.41
1264,27,-1,28,129,2.47
1266,27,-1,28,129,2.66
1268,22,-2,24,164,2.54
1269,23,-4,27,167,2.54
1271,24,-4,28,177,2.6
1273,21,-6,27,207,2.64
1275,22,-7,29,175,2.4
1276,21,-8,29,160,1.49
1278,25,-7,32,80,1.51
1279,23,-6,29,82,1.49
1280,24,-6,30,80,1.62
1282,26,-8,34,62,1.54
1283,26,-8,34,70,1.52
1284,25,-7,32,64,1.55
1286,25,-7,32,49,1.55
1288,26,-9,35,32,1.59
1290,27,-9,36,31,1.53
1292,27,-9,36,31,1.25
1293,26,-8,34,31,1.45
1296,21,2,19,187,2.17
1298,25,-1,26,179,2.92
1299,25,-1,26,183,3.08
1300,23,-2,25,188,2.5
1303,27,-1,28,129,2.66
1305,24,-3,27,146,2.54
1307,27,-2,29,141,2.64
1309,25,-2,27,159,2.64
1310,21,-7,28,201,2.37
1312,21,-7,28,192,2.4
1313,20,-9,29,207,1.72
1315,25,-7,32,74,1.72
1317,24,-7,31,78,1.56
1319,24,-7,31,103,1.86
1321,26,-7,33,67,1.58
1323,24,-7,31,69,1.55
1325,25,-7,32,81,1.81
1326,26,-8,34,31,1.59
1328,26,-9,35,31,1.59
1329,25,-8,33,32,1.59
1331,25,-7,32,30,1.49
1333,26,-8,34,28,1.43
1334,23,1,22,213,3.29
1335,23,2,21,232,3.01
1337,25,-1,26,162,3.06
1339,25,-1,26,182,2.92
1340,23,-2,25,189,2.5
1341,27,0,27,145,2.5
1343,26,-1,27,131,2.54
1344,27,-1,28,135,2.74
1345,26,-2,28,148,2.74
1347,21,-5,26,171,2.73
1348,21,-7,28,193,2.37
1350,21,-8,29,197,2.4
1351,21,-8,29,182,1.72
1352,24,-7,31,88,1.72
1354,25,-7,32,62,1.56
1356,25,-7,32,55,1.51
1358,26,-8,34,55,1.49
1359,26,-8,34,60,1.57
1361,22,-8,30,79,1.88
1362,22,-8,30,67,1.86
1363,26,-8,34,30,1.86
1364,24,-7,31,31,1.59
1365,26,-9,35,29,1.59
1367,26,-9,35,28,1.49
1368,27,-1,28,142,3.33
1371,26,0,26,161,2.98
1373,26,1,25,152,3.06
1375,26,-1,27,139,3.06
1376,27,-1,28,126,2.93
1377,26,-1,27,127,2.54
1379,25,-3,28,122,2.74
1380,26,-2,28,136,2.74
1381,21,-5,26,162,2.73
1383,20,-6,26,183,2.73
1384,21,-8,29,192,2.04
1385,23,-6,29,108,2.04
1387,23,-6,29,108,2.04
1389,25,-7,32,73,1.56
1391,26,-8,34,59,1.56
1393,26,-8,34,55,1.49
1395,25,-7,32,58,1.51
1396,26,-8,34,59,1.77
1397,24,-7,31,72,1.88
1401,26,-8,34,30,1.5
1402,26,-9,35,30,1.57
1403,26,-9,35,28,1.57
1404,26,-9,35,27,1.4
1405,25,2,23,194,3.33
1406,24,-1,25,168,3.33
1407,26,0,26,163,3.03
1408,27,-1,28,143,3.03
1409,27,-1,28,148,2.93
1411,26,-1,27,132,2.93
1414,26,-1,27,130,2.67
1415,23,-4,27,151,2.73
1416,21,-7,28,189,2.04
1418,21,-8,29,178,2.04
1419,23,-6,29,107,1.78
1421,25,-7,32,81,1.81
1422,25,-7,32,77,1.6
1424,26,-8,34,53,1.49
1426,26,-8,34,58,1.9
1427,25,-6,31,72,1.9
1428,22,-8,30,75,1.9
1429,22,-9,31,71,2.01
1432,26,-8,34,31,1.5
1435,26,-7,33,28,1.35
1436,23,2,21,211,3.33
1437,26,-1,27,151,3.67
1439,25,-1,26,161,3.33
1441,25,-2,27,168,3.36
1442,28,-1,29,142,2.93
1443,25,-2,27,140,2.67
1444,25,-3,28,142,2.67
1445,21,-3,24,156,2.67
1447,21,-4,25,168,2.52
1448,23,-5,28,163,2.52
1449,21,-6,27,187,2.4
1451,21,-7,28,176,2.4
1452,21,-7,28,138,1.78
1453,24,-7,31,80,1.78
1454,25,-7,32,76,1.64
1456,24,-7,31,86,1.6
1457,26,-7,33,60,1.64
1459,26,-8,34,55,1.65
1460,27,-8,35,58,1.9
1461,25,-6,31,83,1.9
1464,24,-7,31,51,2.01
1465,26,-6,32,39,2.01
1467,26,-7,33,31,1.44
1469,24,-7,31,29,1.42
1470,20,2,18,180,2.28
1471,24,2,22,215,3.79
1472,24,1,23,218,3.79
1473,27,1,26,230,3.27
1474,26,1,25,160,3.32
1476,26,0,26,166,3.33
1478,23,-3,26,217,3.36
1479,27,0,27,161,3.27
1480,28,-2,30,139,2.92
1482,27,-2,29,141,2.98
1484,27,-2,29,145,2.6
1485,25,-3,28,153,2.52
1486,26,-3,29,157,2.52
1487,20,-6,26,192,2.4
1488,20,-7,27,186,2.4
1489,22,-7,29,152,1.95
1490,23,-7,30,111,1.95
1491,24,-7,31,103,1.93
1493,24,-7,31,113,1.6
1494,25,-7,32,66,1.67
1496,26,-7,33,64,1.65
1498,27,-8,35,53,1.67
1499,27,-7,34,57,1.88
1500,26,-6,32,64,1.88
1503,25,-7,32,49,1.94
1505,26,-7,33,34,1.5
1506,23,2,21,229,3.79
1507,23,2,21,242,3.79
1508,25,-1,26,166,3.64
1510,26,0,26,166,3.33
1511,27,0,27,190,3.27
1512,24,-3,27,195,3.27
1513,25,-2,27,189,2.92
1514,26,-2,28,169,2.92
1516,22,-4,26,173,2.57
1518,24,-3,27,172,2.57
1519,24,-3,27,164,2.52
1520,25,-3,28,163,2.52
1522,21,-6,27,186,2.4
1523,21,-7,28,181,1.95
1524,23,-7,30,134,1.93
1525,22,-7,29,124,1.93
1527,24,-7,31,94,1.93
1528,27,-6,33,56,1.88
1529,26,-6,32,50,1.94
1532,27,-6,33,40,1.94
1533,24,2,22,208,3.47
1534,24,2,22,214,3.47
1535,23,2,21,223,3.79
1536,27,-1,28,144,3.66
1538,27,-1,28,150,3.5
1540,28,-1,29,166,3.58
1542,29,-1,30,183,3.02
1543,26,-1,27,180,2.92
1545,22,-3,25,210,2.98
1547,22,-4,26,185,2.48
1548,24,-3,27,177,2.48
1551,22,-4,26,176,2.59
1553,21,-5,26,185,2.46
1555,20,-7,27,209,2.46
1556,19,-8,27,168,1.93
1557,19,-8,27,168,1.93
1559,22,-7,29,116,1.86
1561,23,-7,30,102,1.93
1562,27,-6,33,38,2.45
1563,23,2,21,202,3.47
1565,23,2,21,210,3.47
1566,24,1,23,211,3.48
1567,27,0,27,173,3.5
1569,25,-2,27,213,3.5
1571,27,-1,28,201,2.92
1572,26,-1,27,196,2.92
1574,24,-3,27,213,2.87
1576,24,-3,27,187,2.77
1578,22,-4,26,192,2.78
1579,23,-4,27,180,2.52
1581,21,-6,27,220,2.46
1582,21,-8,29,234,2.14
1586,20,-8,28,171,2.14
1587,22,-7,29,111,2.02
1589,25,-6,31,56,1.81
1591,27,-6,33,36,1.86
1592,22,2,20,200,4.49
1594,24,1,23,205,3.39
1595,22,2,20,207,3.47
1597,27,1,26,205,3.37
1599,29,-1,30,186,2.89
1601,25,-2,27,204,2.87
1603,22,-4,26,214,2.73
1604,24,-3,27,177,2.73
1605,25,-4,29,174,2.75
1606,19,-8,27,132,2.02
1607,22,-7,29,102,2.02
1608,23,2,21,233,4.49
1610,21,2,19,229,3.39
1612,23,2,21,203,3.39
1614,25,1,24,204,3.21
1616,27,0,27,200,2.89
1617,26,-1,27,202,2.77
1619,22,-4,26,220,2.84
1620,23,-3,26,209,2.73
1621,23,-3,26,209,2.73
1623,22,-5,27,227,2.75
1625,20,-6,26,267,2.72
1627,18,-8,26,252,2.22
1628,19,-9,28,157,2.2
1630,22,-7,29,108,2.25
1632,27,-6,33,35,1.69
1634,21,2,19,230,3.07
1636,21,2,19,244,3.39
1637,23,0,23,218,3.54
1640,26,1,25,205,3.21
1641,26,1,25,200,3.63
1642,27,0,27,209,2.89
1645,28,-2,30,222,3.03
1647,27,-3,30,177,2.84
1648,25,-2,27,195,2.84
1650,23,-4,27,216,2.84
1652,21,-6,27,248,2.22
1655,20,-8,28,129,2.2
1657,24,-6,30,86,2.25
1661,20,2,18,260,3.7
1664,27,1,26,202,3.37
1666,26,1,25,200,3.47
1668,24,-3,27,236,3.45
1669,27,-1,28,220,3.33
1671,25,-2,27,232,2.84
1672,26,-3,29,207,2.84
1673,22,-5,27,238,2.84
1675,22,-6,28,248,2.43
1676,20,-8,28,248,2.41
1677,22,-7,29,118,2.27
1679,24,-6,30,80,2.27
1681,26,-6,32,51,2.16
1683,27,-6,33,39,1.57
1685,21,2,19,241,3.7
1686,23,1,22,225,3.93
1689,25,1,24,207,3.08
1691,24,-2,26,241,3.45
1692,24,-3,27,240,3.33
1693,26,-1,27,209,3.11
1694,22,-3,25,236,3.11
1697,21,-7,28,247,2.41
1699,22,-6,28,123,2.2
1700,22,2,20,239,3.94
1702,23,1,22,218,3.73
1703,23,2,21,233,3.35
1704,24,1,23,211,3.28
1705,23,-3,26,241,3.71
1706,23,-3,26,236,3.11
1708,26,-4,30,208,2.82
1710,21,-6,27,236,2.53
1712,24,-6,30,98,2.3
1713,24,-10,34,87,2.24
1715,21,2,19,196,3.73
1716,24,2,22,214,3.15
1718,23,-3,26,226,3.71
1719,22,-3,25,224,3.71
1721,26,-3,29,187,3.68
1723,23,-3,26,244,3.68
1725,22,-4,26,284,3.36
1727,22,-5,27,212,2.53
1729,22,-6,28,223,2.53
1730,22,-6,28,198,2.53
1732,25,-6,31,86,2.3
1734,27,-6,33,43,2.11
1735,21,-10,31,94,2.24
1737,21,2,19,239,3.15
1739,22,1,21,271,3.48
1741,26,-1,27,193,3.85
1743,23,-3,26,243,3.36
1745,25,-5,30,190,3.36
1747,23,-5,28,199,3.34
1749,22,-6,28,221,3.34
1752,25,-5,30,91,2.3
1756,22,2,20,232,2.75
1757,23,1,22,306,4.04
1758,24,2,22,265,4.04
1759,23,-2,25,240,3.66
1760,23,-3,26,232,3.61
1762,25,-3,28,203,3.45
1764,24,-5,29,199,3.36
1765,22,-6,28,210,3.34
1767,22,-6,28,216,2.72
1769,26,-6,32,77,2.72
1771,27,-6,33,51,2.2
1772,22,1,21,206,3.6
1773,23,1,22,229,3.6
1775,23,1,22,236,3.86
1776,26,2,24,204,3.63
1777,25,1,24,212,3.98
1778,24,-1,25,216,3.61
1780,22,-4,26,232,3.45
1781,25,-4,29,211,3.46
1783,21,-6,27,221,3.46
1785,22,-6,28,225,2.7
1787,26,-6,32,88,2.72
1788,27,-5,32,54,2.2
1790,24,-5,29,88,2.18
1791,25,-5,30,53,1.62
1792,25,-4,29,48,1.62
1793,22,-7,29,70,1.88
1795,25,0,25,223,3.75
1796,25,-1,26,233,3.75
1797,22,-3,25,259,3.75
1799,25,-4,29,211,3.46
1800,23,-4,27,220,3.46
1801,22,-5,27,218,3.06
1803,24,-5,29,152,3.06
1804,27,-6,33,52,2.38
1807,24,-6,30,99,2.18
1809,26,-4,30,46,1.76
1810,27,-4,31,40,1.76
1811,24,-1,25,245,3.75
1812,24,-1,25,207,3.59
1813,22,-4,26,247,3.44
1815,25,-4,29,208,3.46
1817,22,-5,27,218,3.04
1818,21,-6,27,209,3.06
1819,23,-7,30,171,2.38
1821,25,-4,29,73,2.35
1823,26,-4,30,47,1.81
1824,25,-2,27,226,3.59
1826,23,-4,27,220,3.11
1828,26,-1,27,213,3.63
1830,23,-3,26,198,3.25
1832,21,-4,25,214,3.11
1834,22,-5,27,220,3.11
1835,19,-7,26,250,3.11
1836,24,-1,25,237,3.52
1838,24,-1,25,229,3.52
1839,25,-2,27,185,3.23
1840,25,-3,28,181,3.23
1842,24,-4,28,196,3.11
1844,21,-5,26,214,3.11
1846,20,-6,26,212,2.84
1848,22,-3,25,245,4.04
1849,24,-2,26,235,4.04
1850,23,-3,26,237,4.04
1852,23,-4,27,203,3.19
1853,22,-5,27,198,3.19
1854,23,0,23,280,4.47
1856,20,-1,21,229,4.04
1858,22,-4,26,239,3.57
1859,21,-3,24,238,3.4
1860,22,-4,26,203,3.4
1861,24,-3,27,189,3.4
1863,22,-4,26,197,3.02
1865,23,-4,27,188,2.94
1866,21,-5,26,189,2.91
1867,24,-9,33,77,1.81
1868,21,2,19,298,3.94
1869,22,1,21,274,4.41
1871,24,-2,26,232,4.38
1872,23,-3,26,221,3.45
1876,24,-3,27,179,2.94
1878,22,-4,26,182,2.94
1879,20,-4,24,188,3.02
1881,22,-5,27,182,2.99
1882,21,0,21,277,4.41
1883,21,1,20,302,4.41
1884,21,-4,25,256,4.38
1885,25,-2,27,196,3.45
1887,25,-2,27,164,3.45
1889,23,-4,27,184,3.35
1891,23,-3,26,174,3.25
1893,24,-4,28,166,3.09
1895,22,-5,27,177,2.99
1896,21,-10,31,86,1.99
1898,21,-3,24,222,3.45
1900,25,-2,27,159,3.38
1901,25,-2,27,160,3.35
1902,25,-3,28,163,3.35
1905,21,-5,26,183,3.42
1906,23,-9,32,76,1.76
1907,22,0,22,263,4.04
1908,24,-3,27,158,3.91
1910,23,-4,27,163,3.35
1912,24,-4,28,161,3.28
1914,23,-5,28,153,3.28
1915,24,-7,31,69,1.78
1916,21,0,21,265,4.04
1918,20,-3,23,283,5.71
1919,21,-2,23,230,4.32
1921,21,-3,24,210,4.21
1923,25,-1,26,180,4.07
1924,20,-4,24,205,4.07
1925,23,-3,26,167,3.9
1927,22,-4,26,164,3.9
1929,23,-5,28,144,3.73
1930,21,1,20,273,4.22
1931,22,0,22,213,5.52
1933,22,-4,26,230,5.12
1934,23,-4,27,228,4.07
1936,21,-4,25,184,3.73
1937,20,-5,25,185,3.9
1939,22,-5,27,155,3.57
1941,21,-5,26,144,3.74
1943,23,-5,28,109,3.57
1945,23,-5,28,94,3.17
1946,24,-5,29,79,3.37
1947,20,-10,30,148,3.2
1948,20,1,19,332,4.22
1949,19,1,18,317,4.22
1950,21,0,21,215,4.12
1951,22,0,22,180,5.52
1952,22,-1,23,218,5.3
1954,20,-4,24,223,5.3
1955,21,-4,25,228,5.3
1956,21,-4,25,205,4.92
1958,23,-4,27,180,4.92
1960,21,-4,25,167,4.42
1961,20,-5,25,162,3.74
1963,21,-5,26,160,3.17
1965,21,-5,26,126,3.37
1967,23,-5,28,100,3.17
1969,26,-5,31,48,2.35
1970,27,-4,31,43,2.35
1971,19,-11,30,168,3.2
1972,22,1,21,242,2.22
1973,22,1,21,241,4.07
1974,21,0,21,252,4.24
1976,25,0,25,236,3.79
1978,22,-2,24,233,6.26
1980,21,-4,25,268,4.69
1981,21,-4,25,231,4.92
1983,23,-2,25,204,3.97
1984,20,-5,25,207,4.92
1986,19,-5,24,202,4.68
1987,19,-5,24,194,4.13
1988,19,-5,24,194,4.13
1989,20,-5,25,141,2.35
1993,27,-4,31,42,2.35
1994,17,-11,28,153,2.6
1995,22,-10,32,153,2.6
1996,17,-12,29,166,2.63
1997,20,-12,32,166,3.2
1999,24,-10,34,133,3
2001,24,-9,33,127,3
2002,21,1,20,257,4.07
2003,21,1,20,265,4.24
2005,23,-2,25,219,6.26
2007,20,-4,24,315,6.51
2009,21,-2,23,239,6.21
2011,22,-2,24,228,4.92
2013,22,-3,25,219,5.38
2015,21,-4,25,209,4.68
2017,19,-5,24,251,4.68
2019,19,-5,24,231,3.91
2021,19,-5,24,240,3.91
2022,24,-5,29,108,3.3
2023,22,-5,27,67,3.3
2025,24,-8,32,112,2.9
2027,24,-10,34,108,2.51
2028,17,-12,29,174,2.63
2029,20,-11,31,153,2.63
2031,19,-12,31,129,2.83
2032,22,-2,24,227,6.21
2034,21,-4,25,264,5.38
2036,20,-4,24,240,5.38
2038,18,-6,24,293,4.36
2041,22,-5,27,194,4.13
2043,19,-5,24,155,3.12
2045,22,-5,27,63,3.3
2047,21,-11,32,136,2.99
2049,25,-9,34,104,2.68
2050,18,-13,31,158,2.63
2051,19,-12,31,110,2.63
2052,18,-12,30,116,2.83
2054,25,0,25,200,7.02
2055,22,-1,23,276,7.02
2056,21,-2,23,317,7.12
2057,20,-4,24,293,7.12
2058,22,-3,25,291,5.38
2060,20,-4,24,273,5.38
2064,19,-6,25,316,4.17
2065,22,-4,26,172,4.09
2067,20,-5,25,138,4.09
2069,23,-5,28,63,3.84
2071,22,-10,32,124,3.06
2072,21,-11,32,132,3.21
2073,25,-9,34,100,2.95
2075,20,-12,32,146,2.95
2077,23,-9,32,116,2.29
2079,22,-10,32,116,2.29
2081,18,-11,29,119,2.27
2083,25,-1,26,205,7.02
2084,22,-2,24,274,7.12
2085,21,-4,25,321,7.12
2086,21,-2,23,288,7.12
2087,21,-4,25,305,5.87
2088,22,-5,27,267,4.36
2090,22,-5,27,197,4.36
2091,24,-4,28,123,4.09
2092,22,-5,27,110,4.09
2095,23,-10,33,103,3.52
2096,26,-8,34,90,2.93
2097,19,-11,30,136,3.25
2098,18,-11,29,146,3.25
2101,23,-9,32,95,2.29
2103,23,-2,25,267,7.4
2105,23,-1,24,271,7.4
2106,23,-2,25,267,7.87
2108,22,-2,24,276,5.55
2109,22,-3,25,298,5.87
2110,22,-3,25,262,5.87
2114,24,-4,28,124,4.36
2116,21,-5,26,146,3.98
2118,26,-8,34,77,2.93
2119,19,-11,30,111,3.25
2121,22,-10,32,85,2.9
2122,18,-11,29,112,2.13
2124,23,-2,25,263,7.4
2126,19,-6,25,316,4.17
2127,21,-4,25,316,6.47
2128,21,-4,25,299,6.47
2130,22,-3,25,211,5.34
2132,24,-8,32,97,2.66
2133,20,-10,30,83,2.66
2134,21,-4,25,294,6.47
2135,22,-2,24,281,6.47
2136,22,-5,27,237,5.34
2137,23,-4,27,158,5.34
2139,23,-9,32,74,2.59
2141,21,-4,25,256,6.51
2142,21,-5,26,243,5.34
2144,21,-5,26,203,5.34
2145,21,-3,24,459,8.82
2147,22,-4,26,214,5.45
2148,21,-2,23,460,6.93
2149,21,-4,25,368,7.24
2152,23,-3,26,325,5.34
2154,24,-2,26,287,5.34
2156,27,-2,29,243,5.34
2158,25,-3,28,275,4.73
2159,25,-3,28,277,5.12
2161,25,-3,28,188,3.82
2162,29,-4,33,50,1.85
2163,22,-3,25,415,6.93
2165,20,-4,24,371,6.52
2167,24,-2,26,276,5.11
2169,25,-3,28,233,5.11
2170,25,-2,27,254,5.12
2171,23,-3,26,280,5.12
2173,22,-4,26,275,4.73
2175,24,-3,27,215,3.82
2176,24,-4,28,151,4.15
2177,25,-6,31,100,3.4
2178,24,-2,26,358,6.93
2179,23,-2,25,351,6.93
2181,22,-2,24,271,5.11
2183,25,-2,27,246,5.11
2185,21,-4,25,244,3.7
2186,21,-5,26,198,3.7
2188,24,-3,27,154,3.82
2189,25,-2,27,354,5.81
2190,22,-2,24,348,5.81
2192,22,-3,25,273,5.11
2193,22,-2,24,276,5.07
2194,19,-5,24,282,5.07
2196,22,-4,26,228,3.7
2198,22,-4,26,183,3.7
2199,24,-4,28,152,2.81
2200,24,-4,28,152,2.62
2201,21,-3,24,346,4.69
2203,22,-3,25,310,4.49
2205,21,-4,25,302,4.49
2207,22,-3,25,265,4.16
2208,19,-5,24,304,4.37
2209,19,-5,24,268,3.98
2212,22,-4,26,145,2.62
2213,24,-6,30,92,2.39
2214,25,-3,28,283,4.37
2217,22,-3,25,260,4.16
2218,20,-5,25,259,4.37
2219,19,-6,25,270,3.98
2220,21,-5,26,224,3.77
2222,22,-4,26,145,3.11
2223,24,-2,26,348,4.88
