"","megadbid","Area","N","coast_km","maxaug_c","mindec_c","continen","precip_cm","CMD","Abn_Cya_l","Abn_Cya_s_m","Abn_For_p","Abn_For_sh","Abn_Mtx_m_l","Abn_Mtx_s","Abn_For_sum34_max8","Abn_Cya_sum34_max8","Abn_Mtx_sum34_max8","Abn_eutr","Abn_inter","Abn_meso","Abn_olig","Abn_sens","Abn_tol","Abn_Max_Cya","Abn_Max_For","Abn_Max_Mtx","Abn_Max_eutr","Abn_Max_inter","Abn_Max_meso","Abn_Max_olig","Abn_Max_sens","Abn_Max_tol","Abn_Log_Cya","Abn_Log_For","Abn_Log_Mtx","Abn_Log_eutr","Abn_Log_inter","Abn_Log_meso","Abn_Log_olig","Abn_Log_sens","Abn_Log_tol","Abn_Cya_sum34_max4","Abn_For_sum34_max4","Abn_Mtx_sum34_max4"
"21",5083,"West",0.75,7,17.22,-2.42,19.64,236,0,3,0,3,3,3,3,6,3,6,3,21,6,60,30,18,3,3,3,3,3,3,3,3,3,0.601,0.41,1.11,0.1,0.1,0.1,0.1,0.1,0.1,18,12,33
"22",5084,"West",0.75,7,17.62,-2.34,19.96,247,0,3,3,3,3,3,3,6,6,6,3,15,9,63,39,24,3,3,3,3,3,3,3,3,3,1,0.22,1.22,0.1,0.1,0.1,0.1,0.1,0.1,30,6,36
"23",5085,"West",0.75,7,17.62,-2.34,19.96,247,0,3,0,0,0,0,0,0,3,0,3,9,0,24,12,3,3,0,0,3,3,0,3,3,3,0.701,0,0,0.1,0.1,0,0.1,0.1,0.1,21,0,0
"24",5087,"West",0.5,9,17.43,-2.97,20.4,298,0,3,0,3,3,3,3,6,3,6,0,6,9,45,39,9,3,3,3,0,3,3,3,3,3,0.2,0.7,0.622,0.01,0.1,0.1,0.1,0.1,0.1,6,21,18
"25",5088,"West",0.99,9,17.44,-2.95,20.39,292,0,3,0,3,3,3,3,6,3,6,3,9,9,24,18,6,3,3,3,3,3,3,3,3,3,0.3,0.201,0.71,0.1,0.1,0.1,0.1,0.1,0.1,9,6,21
"26",5095,"West",0.84,0,16.68,-0.72,17.4,299,0,3,0,0,3,3,3,3,3,6,0,6,15,18,27,3,3,3,3,0,3,3,3,3,3,0.11,0.12,0.901,0,0.1,0.1,0.1,0.1,0.1,3,3,27
"27",5098,"West",0.75,2,16.85,-3.71,20.56,291,0,3,0,0,0,3,3,0,3,6,6,3,6,27,24,6,3,0,3,3,3,3,3,3,3,0.6,0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,18,0,15
"28",5099,"West",0.75,1,16.94,-3.76,20.7,372,0,3,0,3,0,3,3,3,3,6,0,6,3,27,18,3,3,3,3,0,3,3,3,3,3,0.1,0.4,0.3,0,0.1,0.1,0.1,0.1,0.1,3,12,9
"29",5100,"West",0.75,0,16.5,-1.48,17.98,172,0,3,0,0,0,3,3,0,3,6,6,6,0,24,12,6,3,0,3,3,3,0,3,3,3,0.3,0,0.5,0.1,0.1,0,0.1,0.1,0.1,9,0,15
"30",5101,"West",0.52,0,16.98,-1.6,18.58,195,0,3,0,3,3,3,3,6,3,6,3,9,3,51,30,15,3,3,3,3,3,3,3,3,3,0.2,0.3,1.32,0.1,0.1,0.1,0.1,0.1,0.1,6,9,39
"31",5102,"West",0.75,1,16.98,-1.6,18.58,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.002,0.041,0,0.01,0.01,0.01,0.01,0.01,0,0,0
"32",5103,"West",0.79,0,15.59,-3.44,19.03,357,0,4,0,4,0,3,3,4,4,6,0,9,12,56,37,21,4,4,3,0,3,3,4,4,3,1.3,1.23,1.35,0,0.1,0.1,1,1,0.1,13,10,39
"33",5104,"West",0.76,0,14.93,-4.36,19.29,336,0,3,0,3,3,3,3,6,3,6,0,0,0,24,18,9,3,3,3,0,0,0,3,3,3,0.21,0.31,0.482,0,0.01,0.01,0.1,0.1,0.1,6,9,12
"34",5106,"West",0.5,0,16.84,-2.49,19.33,297,0,3,0,3,0,3,3,3,3,6,0,0,0,18,15,0,3,3,3,0,0,0,3,3,0,0.101,0.131,0.431,0,0.01,0.01,0.1,0.1,0.01,3,3,12
"35",5109,"West",0.75,5,16.73,-4.24,20.97,279,0,3,0,4,3,3,3,7,3,6,0,3,0,49,34,9,3,4,3,0,3,0,4,4,3,0.2,1.411,0.81,0,0.1,0.01,1,1,0.1,6,16,24
"36",5110,"West",0.75,5,16.73,-4.24,20.97,279,0,3,0,0,0,3,3,0,3,6,0,3,3,21,18,6,3,0,3,0,3,3,3,3,3,0.1,0,0.7,0,0.1,0.1,0.1,0.1,0.1,3,0,21
"37",5319,"West",0.75,3,17.37,-2.28,19.65,279,0,3,0,3,0,0,3,3,3,3,3,3,0,24,21,3,3,3,3,3,3,0,3,3,3,0.1,0.2,0.4,0.1,0.1,0,0.1,0.1,0.1,3,6,12
"38",5322,"West",0.75,4,14.95,-5.71,20.66,347,0,3,0,0,3,3,3,3,3,6,3,9,9,24,18,9,3,3,3,3,3,3,3,3,3,0.5,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,15,3,21
"39",5112,"West",0.75,0,17.29,-1.2,18.49,234,0,0,0,3,0,3,3,3,0,6,3,6,0,15,6,3,0,3,3,3,3,0,3,3,3,0,0.1,0.4,0.1,0.1,0,0.1,0.1,0.1,0,3,12
"40",5113,"West",0.75,2,17.52,-2.51,20.03,252,0,0,0,3,0,3,3,3,0,6,0,9,9,27,18,0,0,3,3,0,3,3,3,3,0,0,0.1,1,0,0.1,0.1,0.1,0.1,0,0,3,30
"41",5114,"West",0.75,3,17.1,-2.78,19.88,285,0,3,0,3,3,3,3,6,3,6,3,3,3,30,27,3,3,3,3,3,3,3,3,3,3,0.2,0.2,0.8,0.1,0.1,0.1,0.1,0.1,0.1,6,6,24
"42",5115,"West",0.75,3,17.1,-2.78,19.88,285,0,3,0,3,0,3,3,3,3,6,3,9,9,30,21,6,3,3,3,3,3,3,3,3,3,0.1,0.2,1,0.1,0.1,0.1,0.1,0.1,0.1,3,6,30
"43",5116,"West",0.75,7,17.79,-2.26,20.05,368,0,0,0,3,0,3,3,3,0,6,3,12,3,45,24,9,0,3,3,3,3,3,3,3,3,0,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0,21,21
"44",5117,"West",0.75,2,17.07,-3.97,21.04,166,0,3,0,3,3,3,0,6,3,3,18,18,15,57,39,15,3,3,3,3,3,3,3,3,3,0.8,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1,24,21,21
"45",5118,"West",0.75,2,17.07,-3.97,21.04,166,0,3,0,3,3,3,3,6,3,6,6,0,6,15,21,9,3,3,3,3,0,3,3,3,3,0.2,0.2,0.5,0.1,0,0.1,0.1,0.1,0.1,6,6,15
"46",5119,"West",0.75,6,16.72,-4.31,21.03,187,0,3,0,0,0,0,3,0,3,3,3,6,9,9,15,0,3,0,3,3,3,3,3,3,0,0.3,0,0.3,0.1,0.1,0.1,0.1,0.1,0,9,0,9
"47",5123,"West",0.75,9,17.43,-2.97,20.4,298,0,3,0,4,3,4,3,7,3,7,3,7,13,39,25,13,3,4,4,3,4,4,4,4,4,0.301,1.311,2.523,0.1,1,1,1,1,1,9,13,23
"48",5126,"West",0.75,0,15.78,-3.49,19.27,392,0,3,0,3,0,3,3,3,3,6,3,3,0,21,12,0,3,3,3,3,3,0,3,3,0,0.1,0.2,0.4,0.1,0.1,0,0.1,0.1,0,3,6,12
"49",5127,"West",1.36,13,15.68,-4.1,19.78,390,0,3,3,0,0,3,3,0,6,6,6,33,12,60,30,9,3,0,3,3,3,3,3,3,3,1.6,0,0.701,0.1,0.1,0.1,0.1,0.1,0.1,48,0,21
"50",5128,"West",0.75,12,15.71,-4,19.71,390,0,3,3,0,0,3,3,0,6,6,6,9,9,15,18,6,3,0,3,3,3,3,3,3,3,0.6,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,18,0,6
"51",5130,"West",0.84,12,15.68,-4.28,19.96,396,0,3,0,4,4,3,3,8,3,6,0,3,3,22,20,6,3,4,3,0,3,3,4,4,3,0.1,2.2,0.252,0.01,0.1,0.1,1,1,0.1,3,14,6
"52",5131,"West",0.81,7,15.69,-4.48,20.17,402,0,3,0,4,4,4,3,8,3,7,3,11,10,39,21,11,3,4,4,3,4,4,4,4,4,0.222,4.001,2.507,0.1,1,1,1,1,1,6,16,23
"53",5132,"West",0.96,5,15.68,-4.29,19.97,400,0,4,3,3,4,0,3,7,7,3,0,0,0,22,25,0,4,4,3,0,0,0,4,4,0,1.2,1.12,0.32,0,0,0,1,1,0.01,10,7,9
"54",5133,"West",0.75,11,15.72,-4.09,19.81,395,0,3,0,3,3,3,3,6,3,6,3,9,9,42,30,18,3,3,3,3,3,3,3,3,3,0.1,0.4,1.2,0.1,0.1,0.1,0.1,0.1,0.1,3,12,36
"55",5134,"West",0.75,12,15.66,-4.29,19.95,400,0,0,0,3,3,3,3,6,0,6,0,6,3,27,18,9,0,3,3,0,3,3,3,3,3,0,0.401,0.441,0.01,0.1,0.1,0.1,0.1,0.1,0,12,12
"56",5136,"West",0.75,12,15.63,-4.2,19.83,400,0,0,0,3,3,3,3,6,0,6,3,3,9,36,30,18,0,3,3,3,3,3,3,3,3,0,0.2,1.2,0.1,0.1,0.1,0.1,0.1,0.1,0,6,36
"57",5137,"West",0.4,13,17.25,-2.61,19.86,353,0,0,0,3,3,3,3,6,0,6,0,6,3,27,27,3,0,3,3,0,3,3,3,3,3,0,0.3,0.6,0,0.1,0.1,0.1,0.1,0.1,0,9,18
"58",5138,"West",0.48,13,17.43,-2.56,19.99,311,0,0,0,4,4,4,3,8,0,7,3,10,13,51,35,13,0,4,4,3,4,4,4,4,4,0,2.201,3.113,0.1,1,1,1,1,1,0,14,41
"59",5139,"West",0.61,12,18.1,-2.96,21.06,308,0,3,0,3,3,3,3,6,3,6,6,12,12,36,33,12,3,3,3,3,3,3,3,3,3,0.1,0.2,1.5,0.1,0.1,0.1,0.1,0.1,0.1,3,6,45
"60",5141,"West",0.75,15,18.52,-1.6,20.12,263,0,0,3,3,3,3,3,6,3,6,3,6,12,42,36,12,3,3,3,3,3,3,3,3,3,0.1,0.5,0.93,0.1,0.1,0.1,0.1,0.1,0.1,3,15,27
"61",5142,"West",0.61,0,17.38,0.76,16.62,239,0,0,0,4,3,4,3,7,0,7,6,10,14,61,52,16,0,4,4,3,4,4,4,4,4,0.01,2.432,2.231,0.1,1,1,1,1,1,0,20,40
"62",5144,"West",0.29,0,17.38,0.76,16.62,239,0,0,0,3,3,3,0,6,0,3,0,0,6,3,12,0,0,3,3,0,0,3,3,3,0,0,0.201,0.222,0,0,0.1,0.1,0.1,0,0,6,6
"63",5145,"West",1.68,2,15.59,-0.18,15.77,288,0,4,3,4,4,4,0,8,7,4,3,7,18,52,50,13,4,4,4,3,4,4,4,4,4,2.32,3.31,3.41,0.1,1,1,1,1,1,17,21,24
"64",5146,"West",0.27,3,15.59,-0.18,15.77,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.012,0,0.001,0,0.01,0.01,0.001,0,0,0
"65",5147,"West",0.42,3,15.09,-0.52,15.61,280,0,0,0,0,3,3,3,3,0,6,0,0,3,6,12,0,0,3,3,0,0,3,3,3,0,0.01,0.101,0.332,0.01,0.01,0.1,0.1,0.1,0.01,0,3,9
"66",5148,"West",0.26,8,17.57,-3.04,20.61,318,0,0,0,4,4,4,3,8,0,7,0,10,4,32,26,7,0,4,4,0,4,4,4,4,4,0,2.32,1.461,0.01,1,1,1,1,1,0,17,16
"67",5149,"West",0.44,10,17.55,-4.38,21.93,388,0,4,0,3,0,3,3,3,4,6,0,3,6,19,19,9,4,3,3,0,3,3,4,4,3,1.001,0.12,0.602,0,0.1,0.1,1,1,0.1,4,3,18
"68",5150,"West",0.23,10,17.55,-4.38,21.93,388,0,0,0,4,4,4,4,8,0,8,0,4,7,38,28,4,0,4,4,0,4,4,4,4,4,0,2.3,3.452,0.01,1,1,1,1,1,0,17,24
"69",5151,"West",0.37,10,17.55,-4.38,21.93,388,0,3,0,3,4,3,3,7,3,6,3,3,6,24,22,6,3,4,3,3,3,3,3,4,3,0.2,1.11,0.622,0.1,0.1,0.1,0.1,1,0.1,6,7,18
"70",5154,"West",0.79,5,17.5,-3.58,21.08,308,0,3,0,3,3,3,3,6,3,6,3,0,0,15,15,6,3,3,3,3,0,0,3,3,3,0.101,0.211,0.223,0.1,0.001,0.001,0.1,0.1,0.1,3,6,6
"71",5157,"West",0.75,5,17.32,-3.75,21.07,309,0,4,0,3,3,4,3,6,4,7,3,10,4,30,13,7,4,3,4,3,4,4,4,4,4,1.001,0.21,2.451,0.1,1,1,1,1,1,4,6,20
"72",5160,"West",0.75,4,15.31,-4.85,20.16,596,0,0,3,0,4,3,3,4,3,6,3,3,6,0,7,0,3,4,3,3,3,3,0,4,0,0.1,1.01,0.241,0.1,0.1,0.1,0.01,1,0.01,3,4,6
"73",5161,"West",0.75,5,15.31,-4.85,20.16,596,0,0,0,3,3,3,3,6,0,6,3,6,6,24,15,6,0,3,3,3,3,3,3,3,3,0,0.2,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0,6,24
"74",5162,"West",0.75,4,16.02,-3.93,19.95,589,0,3,0,3,3,4,3,6,3,7,3,7,11,33,20,7,3,3,4,3,4,4,4,4,4,0.1,0.3,4.511,0.1,1,1,1,1,1,3,9,31
"75",5164,"West",0.75,5,16.56,-3.22,19.78,581,0,0,0,3,3,3,3,6,0,6,3,3,9,18,12,6,0,3,3,3,3,3,3,3,3,0,0.21,0.74,0.1,0.1,0.1,0.1,0.1,0.1,0,6,21
"76",5165,"West",0.75,5,15.19,-4.59,19.78,586,0,0,0,3,3,3,3,6,0,6,3,3,6,24,18,6,0,3,3,3,3,3,3,3,3,0.001,0.2,0.831,0.1,0.1,0.1,0.1,0.1,0.1,0,6,24
"77",5179,"West",0.66,0,16.28,-0.48,16.76,263,0,0,0,4,0,3,3,4,0,6,0,3,3,14,14,3,0,4,3,0,3,3,4,4,3,0,2.03,0.272,0.01,0.1,0.1,1,1,0.1,0,8,6
"78",5180,"West",0.9,1,16.41,-0.43,16.84,264,0,3,3,3,3,3,3,6,6,6,15,21,15,57,45,12,3,3,3,3,3,3,3,3,3,0.4,0.6,1.5,0.1,0.1,0.1,0.1,0.1,0.1,12,18,45
"79",5182,"West",0.48,2,16.28,-1.09,17.37,274,0,0,0,0,0,3,3,0,0,6,3,6,6,18,12,6,0,0,3,3,3,3,3,3,3,0,0.011,0.721,0.1,0.1,0.1,0.1,0.1,0.1,0,0,21
"80",5183,"West",0.75,2,16.28,-1.09,17.37,274,0,0,0,4,3,3,3,7,0,6,0,6,3,34,19,3,0,4,3,0,3,3,4,4,3,0,1.3,0.64,0,0.1,0.1,1,1,0.1,0,13,18
"81",5188,"West",0.75,8,16.14,-4.73,20.87,261,0,3,0,0,0,3,3,0,3,6,0,3,12,27,36,0,3,0,3,0,3,3,3,3,0,0.1,0,1.1,0,0.1,0.1,0.1,0.1,0,3,0,33
"82",5189,"West",0.66,3,17.2,-3.86,21.06,189,0,3,0,3,4,4,3,7,3,7,3,4,16,29,31,10,3,4,4,3,4,4,4,4,4,0.11,1.211,2.65,0.1,1,1,1,1,1,3,10,26
"83",5190,"West",0.76,4,16.68,-4.52,21.2,223,0,3,0,0,3,3,3,3,3,6,3,0,3,12,15,3,3,3,3,3,0,3,3,3,3,0.1,0.112,0.431,0.1,0,0.1,0.1,0.1,0.1,3,3,12
"84",5191,"West",0.57,1,17.04,-3.92,20.96,170,0,0,0,4,4,4,3,8,0,7,0,13,18,62,53,10,0,4,4,0,4,4,4,4,4,0,3.51,5.861,0.01,1,1,1,1,1,0,27,44
"85",5197,"West",0.17,2,17.2,-2.28,19.48,259,0,3,0,3,0,0,3,3,3,3,0,0,0,6,3,6,3,3,3,0,0,0,3,3,3,0.1,0.1,0.113,0.001,0.001,0,0.1,0.1,0.1,3,3,3
"86",5321,"West",0.75,13,15.66,-4.2,19.86,393,0,3,0,3,0,3,0,3,3,3,3,0,3,18,18,3,3,3,3,3,0,3,3,3,3,0.422,0.1,0.121,0.1,0.001,0.1,0.1,0.1,0.1,12,3,3
"87",5390,"West",0.75,8,15.92,-2.56,18.48,344,0,0,0,0,0,3,3,0,0,6,0,3,0,18,15,0,0,0,3,0,3,0,3,3,0,0,0,0.6,0,0.1,0,0.1,0.1,0,0,0,18
"88",5218,"West",0.75,2,17.09,-1.55,18.64,313,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0.11,0.01,0.002,0,0.001,0.001,0.1,0.01,0,3,0,0
"89",5280,"West",0.75,1,17.37,-1.94,19.31,231,0,0,3,0,0,3,3,0,3,6,0,6,0,15,6,0,3,0,3,0,3,0,3,3,0,0.1,0,0.4,0,0.1,0,0.1,0.1,0,3,0,12
"90",5364,"West",0.75,9,18.56,-1.96,20.52,222,0,0,0,3,0,3,0,3,0,3,6,3,0,18,12,6,0,3,3,3,3,0,3,3,3,0,0.2,0.4,0.1,0.1,0,0.1,0.1,0.1,0,6,12
"91",5198,"West",0.35,2,17.37,-2.69,20.06,252,0,0,0,4,3,4,0,7,0,4,3,0,10,17,20,6,0,4,4,3,0,4,4,4,3,0,1.212,2.334,0.1,0.01,1,1,1,0.1,0,10,17
"92",5199,"West",0.35,12,17.5,-2.24,19.74,257,0,0,0,4,3,4,3,7,0,7,0,12,17,29,24,6,0,4,4,0,3,4,4,4,3,0,1.3,3.731,0.01,0.1,1,1,1,0.1,0,13,33
"93",5200,"West",0.34,12,17.5,-2.24,19.74,257,0,0,0,4,4,3,0,8,0,3,0,9,12,22,23,3,0,4,3,0,3,3,4,4,3,0,2.3,0.612,0,0.1,0.1,1,1,0.1,0,17,18
"94",5201,"West",0.44,6,15.22,-5.45,20.67,405,0,3,0,4,3,3,3,7,3,6,3,15,12,73,52,12,3,4,3,3,3,3,4,4,3,0.1,1.9,1.421,0.1,0.1,0.1,1,1,0.1,3,31,42
"95",5204,"West",0.19,6,15.84,-3.89,19.73,339,0,0,0,4,4,3,3,8,0,6,3,9,9,60,39,16,0,4,3,3,3,3,4,4,4,0,3.411,1.202,0.1,0.1,0.1,1,1,1,0,24,36
"96",5205,"West",0.48,3,18.18,-0.69,18.87,343,0,0,0,4,4,4,0,8,0,4,0,10,12,41,31,13,0,4,4,0,4,3,4,4,4,0,4.22,1.731,0,1,0.1,1,1,1,0,22,25
"97",5206,"West",0.75,2,17.53,-1.32,18.85,198,0,0,0,3,3,3,3,6,0,6,6,6,3,12,6,12,0,3,3,3,3,3,3,3,3,0,0.2,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0,6,18
"98",5208,"West",0.18,2,16.74,-1.03,17.77,225,0,0,0,4,4,4,3,8,0,7,0,9,9,38,28,10,0,4,4,0,3,3,4,4,4,0,3.2,2.521,0,0.1,0.1,1,1,1,0,18,23
"99",5209,"West",0.75,2,16.74,-1.03,17.77,225,0,0,0,4,4,4,0,8,0,4,0,9,6,34,25,7,0,4,4,0,3,3,4,4,4,0,3.2,1.413,0,0.1,0.1,1,1,1,0,18,16
"100",5210,"West",0.08,1,18.18,-0.49,18.67,280,0,0,0,4,3,3,3,7,0,6,0,9,15,25,25,6,0,4,3,0,3,3,4,4,3,0,1.22,0.91,0,0.1,0.1,1,1,0.1,0,10,27
"101",5211,"West",0.75,3,17.7,-2.18,19.88,277,0,3,0,3,3,3,0,6,3,3,6,3,6,21,21,6,3,3,3,3,3,3,3,3,3,0.11,0.41,0.56,0.1,0.1,0.1,0.1,0.1,0.1,3,12,15
"102",5212,"West",0.12,4,17.87,-0.06,17.93,290,0,0,0,4,3,0,0,7,0,0,0,0,0,27,20,7,0,4,0,0,0,0,4,4,4,0,2.501,0.02,0,0,0,1,1,1,0,23,0
"103",5213,"West",0.16,4,18.22,-0.23,18.45,296,0,0,0,4,4,3,3,8,0,6,0,0,0,14,14,7,0,4,3,0,0,0,4,4,4,0,2.1,0.231,0,0.01,0.001,1,1,1,0,11,6
"104",5214,"West",0.75,0,17.84,-0.56,18.4,279,0,0,0,0,3,3,4,3,0,7,0,10,12,16,15,3,0,3,4,0,4,3,4,3,3,0,0.11,1.733,0,1,0.1,1,0.1,0.1,0,3,25
"105",5215,"West",0.27,0,18.19,-0.13,18.32,269,0,0,0,3,3,4,3,6,0,7,3,12,6,25,12,9,0,3,4,3,3,3,4,3,3,0,0.301,1.522,0.1,0.1,0.1,1,0.1,0.1,0,9,19
"106",5216,"West",0.75,5,16.67,-1,17.67,312,0,3,0,3,3,3,3,6,3,6,3,6,6,42,27,9,3,3,3,3,3,3,3,3,3,0.6,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,18,15,6
"107",5217,"West",0.75,5,16.67,-1,17.67,312,0,3,3,3,3,3,3,6,6,6,15,18,24,63,42,21,3,3,3,3,3,3,3,3,3,0.7,0.8,1,0.1,0.1,0.1,0.1,0.1,0.1,21,24,30
"108",5219,"West",0.75,1,14.61,-4.36,18.97,374,0,0,0,4,0,3,3,4,0,6,0,6,3,40,34,3,0,4,3,0,3,3,4,4,3,0,1.51,0.61,0,0.1,0.1,1,1,0.1,0,19,18
"109",5221,"West",0.14,5,15.64,-4.49,20.13,378,0,0,0,4,4,3,4,8,0,7,0,6,6,33,28,6,0,4,4,0,3,3,4,4,3,0,2.3,1.443,0.001,0.1,0.1,1,1,0.1,0,17,16
"110",5223,"West",0.21,4,17.7,-3.24,20.94,173,0,0,0,4,0,4,4,4,0,8,0,15,15,44,27,13,0,4,4,0,4,4,4,4,4,0,1.02,6.81,0,1,1,1,1,1,0,4,48
"111",5224,"West",0.22,5,17.24,-3.78,21.02,190,0,0,0,4,3,4,4,7,0,8,0,15,14,26,20,4,0,4,4,0,4,4,4,4,4,0,1.2,5.313,0,1,1,1,1,1,0,10,29
"112",5225,"West",0.75,3,17.7,-3.24,20.94,173,0,3,0,3,3,3,3,6,3,6,0,6,12,57,39,24,3,3,3,0,3,3,3,3,3,0.3,0.6,1,0,0.1,0.1,0.1,0.1,0.1,9,18,30
